idHabitacion,timestamp,status
13,5/31/2021 8:17:58 a. m.,Inicia limpieza.
13,5/31/2021 8:18:28 a. m.,Sala disponible.
1,5/31/2021 8:19:42 a. m.,Sala disponible.
5,5/31/2021 8:20:19 a. m.,Sala no disponible.
5,5/31/2021 8:21:27 a. m.,Inicia limpieza.
5,5/31/2021 8:22:44 a. m.,Sala disponible.
12,5/31/2021 8:23:36 a. m.,Inicia limpieza.
12,5/31/2021 8:24:07 a. m.,Sala disponible.
2,5/31/2021 8:26:28 a. m.,Sala no disponible.
2,5/31/2021 8:27:01 a. m.,Inicia limpieza.
3,5/31/2021 8:27:46 a. m.,Sala no disponible.
3,5/31/2021 8:28:05 a. m.,Inicia limpieza.
3,5/31/2021 8:29:48 a. m.,Sala disponible.
2,5/31/2021 8:29:49 a. m.,Sala disponible.
4,5/31/2021 8:32:12 a. m.,Sala no disponible.
4,5/31/2021 8:32:46 a. m.,Inicia limpieza.
4,5/31/2021 8:34:41 a. m.,Sala disponible.
12,5/31/2021 8:35:30 a. m.,Sala no disponible.
5,5/31/2021 8:39:15 a. m.,Sala no disponible.
5,5/31/2021 8:40:23 a. m.,Inicia limpieza.
5,5/31/2021 8:41:43 a. m.,Sala disponible.
6,5/31/2021 8:42:05 a. m.,Sala no disponible.
12,5/31/2021 8:42:35 a. m.,Inicia limpieza.
6,5/31/2021 8:42:42 a. m.,Inicia limpieza.
12,5/31/2021 8:43:05 a. m.,Sala disponible.
6,5/31/2021 8:45:12 a. m.,Sala disponible.
5,5/31/2021 8:55:19 a. m.,Sala no disponible.
5,5/31/2021 8:56:26 a. m.,Inicia limpieza.
5,5/31/2021 8:58:14 a. m.,Sala disponible.
7,5/31/2021 8:59:53 a. m.,Sala no disponible.
7,5/31/2021 9:00:54 a. m.,Inicia limpieza.
1,5/31/2021 9:01:19 a. m.,Sala no disponible.
1,5/31/2021 9:01:59 a. m.,Inicia limpieza.
1,5/31/2021 9:03:27 a. m.,Sala disponible.
7,5/31/2021 9:03:45 a. m.,Sala disponible.
12,5/31/2021 9:13:34 a. m.,Sala no disponible.
12,5/31/2021 9:14:00 a. m.,Inicia limpieza.
12,5/31/2021 9:14:40 a. m.,Sala disponible.
2,5/31/2021 9:17:44 a. m.,Sala no disponible.
2,5/31/2021 9:18:17 a. m.,Inicia limpieza.
12,5/31/2021 9:20:23 a. m.,Sala no disponible.
12,5/31/2021 9:20:50 a. m.,Inicia limpieza.
2,5/31/2021 9:21:11 a. m.,Sala disponible.
12,5/31/2021 9:21:25 a. m.,Sala disponible.
13,5/31/2021 9:24:09 a. m.,Sala no disponible.
13,5/31/2021 9:24:36 a. m.,Inicia limpieza.
13,5/31/2021 9:25:33 a. m.,Sala disponible.
3,5/31/2021 9:28:08 a. m.,Sala no disponible.
3,5/31/2021 9:28:27 a. m.,Inicia limpieza.
1,5/31/2021 9:28:35 a. m.,Sala no disponible.
12,5/31/2021 9:29:21 a. m.,Sala no disponible.
3,5/31/2021 9:29:58 a. m.,Sala disponible.
1,5/31/2021 9:30:18 a. m.,Inicia limpieza.
1,5/31/2021 9:32:40 a. m.,Sala disponible.
12,5/31/2021 9:32:55 a. m.,Inicia limpieza.
12,5/31/2021 9:33:29 a. m.,Sala disponible.
5,5/31/2021 9:37:35 a. m.,Sala no disponible.
5,5/31/2021 9:38:43 a. m.,Inicia limpieza.
5,5/31/2021 9:40:17 a. m.,Sala disponible.
6,5/31/2021 9:43:42 a. m.,Sala no disponible.
6,5/31/2021 9:44:20 a. m.,Inicia limpieza.
6,5/31/2021 9:47:15 a. m.,Sala disponible.
2,5/31/2021 9:47:28 a. m.,Sala no disponible.
2,5/31/2021 9:48:02 a. m.,Inicia limpieza.
2,5/31/2021 9:50:37 a. m.,Sala disponible.
12,5/31/2021 9:50:48 a. m.,Sala no disponible.
12,5/31/2021 9:51:14 a. m.,Inicia limpieza.
12,5/31/2021 9:51:59 a. m.,Sala disponible.
8,5/31/2021 9:52:48 a. m.,Sala no disponible.
8,5/31/2021 9:53:33 a. m.,Inicia limpieza.
8,5/31/2021 9:56:23 a. m.,Sala disponible.
3,5/31/2021 9:59:07 a. m.,Sala no disponible.
3,5/31/2021 9:59:27 a. m.,Inicia limpieza.
3,5/31/2021 10:00:52 a. m.,Sala disponible.
1,5/31/2021 10:10:41 a. m.,Sala no disponible.
2,5/31/2021 10:10:52 a. m.,Sala no disponible.
1,5/31/2021 10:11:20 a. m.,Inicia limpieza.
2,5/31/2021 10:11:26 a. m.,Inicia limpieza.
2,5/31/2021 10:13:53 a. m.,Sala disponible.
1,5/31/2021 10:14:02 a. m.,Sala disponible.
3,5/31/2021 10:16:07 a. m.,Sala no disponible.
3,5/31/2021 10:16:26 a. m.,Inicia limpieza.
3,5/31/2021 10:17:57 a. m.,Sala disponible.
12,5/31/2021 10:20:25 a. m.,Sala no disponible.
12,5/31/2021 10:20:51 a. m.,Inicia limpieza.
12,5/31/2021 10:21:26 a. m.,Sala disponible.
5,5/31/2021 10:26:35 a. m.,Sala no disponible.
4,5/31/2021 10:27:02 a. m.,Sala no disponible.
4,5/31/2021 10:27:37 a. m.,Inicia limpieza.
5,5/31/2021 10:27:43 a. m.,Inicia limpieza.
5,5/31/2021 10:29:01 a. m.,Sala disponible.
4,5/31/2021 10:29:39 a. m.,Sala disponible.
12,5/31/2021 10:30:21 a. m.,Sala no disponible.
12,5/31/2021 10:30:48 a. m.,Inicia limpieza.
12,5/31/2021 10:31:34 a. m.,Sala disponible.
5,5/31/2021 10:41:51 a. m.,Sala no disponible.
1,5/31/2021 10:42:16 a. m.,Sala no disponible.
1,5/31/2021 10:42:55 a. m.,Inicia limpieza.
5,5/31/2021 10:42:58 a. m.,Inicia limpieza.
7,5/31/2021 10:44:09 a. m.,Sala no disponible.
5,5/31/2021 10:44:29 a. m.,Sala disponible.
1,5/31/2021 10:44:31 a. m.,Sala disponible.
7,5/31/2021 10:45:20 a. m.,Inicia limpieza.
7,5/31/2021 10:47:39 a. m.,Sala disponible.
6,5/31/2021 10:54:18 a. m.,Sala no disponible.
6,5/31/2021 10:54:55 a. m.,Inicia limpieza.
6,5/31/2021 10:59:45 a. m.,Sala disponible.
8,5/31/2021 11:07:40 a. m.,Sala no disponible.
1,5/31/2021 11:08:11 a. m.,Sala no disponible.
5,5/31/2021 11:08:25 a. m.,Sala no disponible.
8,5/31/2021 11:08:25 a. m.,Inicia limpieza.
1,5/31/2021 11:08:51 a. m.,Inicia limpieza.
5,5/31/2021 11:09:32 a. m.,Inicia limpieza.
5,5/31/2021 11:10:56 a. m.,Sala disponible.
1,5/31/2021 11:11:45 a. m.,Sala disponible.
8,5/31/2021 11:12:13 a. m.,Sala disponible.
12,5/31/2021 11:12:42 a. m.,Sala no disponible.
12,5/31/2021 11:13:08 a. m.,Inicia limpieza.
12,5/31/2021 11:13:54 a. m.,Sala disponible.
13,5/31/2021 11:21:30 a. m.,Sala no disponible.
14,5/31/2021 11:21:34 a. m.,Sala no disponible.
14,5/31/2021 11:21:50 a. m.,Inicia limpieza.
13,5/31/2021 11:21:56 a. m.,Inicia limpieza.
12,5/31/2021 11:22:06 a. m.,Sala no disponible.
14,5/31/2021 11:22:21 a. m.,Sala disponible.
12,5/31/2021 11:22:37 a. m.,Inicia limpieza.
13,5/31/2021 11:22:45 a. m.,Sala disponible.
12,5/31/2021 11:23:11 a. m.,Sala disponible.
2,5/31/2021 11:23:20 a. m.,Sala no disponible.
2,5/31/2021 11:23:50 a. m.,Inicia limpieza.
5,5/31/2021 11:26:01 a. m.,Sala no disponible.
2,5/31/2021 11:26:28 a. m.,Sala disponible.
5,5/31/2021 11:27:09 a. m.,Inicia limpieza.
1,5/31/2021 11:27:27 a. m.,Sala no disponible.
1,5/31/2021 11:28:06 a. m.,Inicia limpieza.
5,5/31/2021 11:28:23 a. m.,Sala disponible.
1,5/31/2021 11:30:21 a. m.,Sala disponible.
6,5/31/2021 11:30:31 a. m.,Sala no disponible.
6,5/31/2021 11:31:08 a. m.,Inicia limpieza.
6,5/31/2021 11:34:12 a. m.,Sala disponible.
4,5/31/2021 11:37:16 a. m.,Sala no disponible.
4,5/31/2021 11:37:50 a. m.,Inicia limpieza.
12,5/31/2021 11:39:15 a. m.,Sala no disponible.
12,5/31/2021 11:39:41 a. m.,Inicia limpieza.
4,5/31/2021 11:40:19 a. m.,Sala disponible.
12,5/31/2021 11:40:33 a. m.,Sala disponible.
3,5/31/2021 11:43:10 a. m.,Sala no disponible.
3,5/31/2021 11:43:29 a. m.,Inicia limpieza.
3,5/31/2021 11:45:31 a. m.,Sala disponible.
13,5/31/2021 11:48:34 a. m.,Sala no disponible.
12,5/31/2021 11:48:37 a. m.,Sala no disponible.
13,5/31/2021 11:49:01 a. m.,Inicia limpieza.
12,5/31/2021 11:49:03 a. m.,Inicia limpieza.
12,5/31/2021 11:49:38 a. m.,Sala disponible.
13,5/31/2021 11:49:40 a. m.,Sala disponible.
7,5/31/2021 11:53:04 a. m.,Sala no disponible.
7,5/31/2021 11:54:06 a. m.,Inicia limpieza.
7,5/31/2021 11:56:54 a. m.,Sala disponible.
5,5/31/2021 12:00:58 p. m.,Sala no disponible.
5,5/31/2021 12:02:05 p. m.,Inicia limpieza.
5,5/31/2021 12:03:43 p. m.,Sala disponible.
12,5/31/2021 12:06:34 p. m.,Sala no disponible.
12,5/31/2021 12:07:01 p. m.,Inicia limpieza.
12,5/31/2021 12:07:52 p. m.,Sala disponible.
12,5/31/2021 12:15:45 p. m.,Sala no disponible.
12,5/31/2021 12:16:12 p. m.,Inicia limpieza.
12,5/31/2021 12:17:00 p. m.,Sala disponible.
2,5/31/2021 12:18:51 p. m.,Sala no disponible.
2,5/31/2021 12:19:25 p. m.,Inicia limpieza.
1,5/31/2021 12:19:31 p. m.,Sala no disponible.
12,5/31/2021 12:21:44 p. m.,Sala no disponible.
2,5/31/2021 12:22:05 p. m.,Sala disponible.
1,5/31/2021 12:22:22 p. m.,Inicia limpieza.
12,5/31/2021 12:22:35 p. m.,Inicia limpieza.
5,5/31/2021 12:23:06 p. m.,Sala no disponible.
12,5/31/2021 12:23:19 p. m.,Sala disponible.
5,5/31/2021 12:24:14 p. m.,Inicia limpieza.
1,5/31/2021 12:24:55 p. m.,Sala disponible.
5,5/31/2021 12:25:29 p. m.,Sala disponible.
3,5/31/2021 12:30:10 p. m.,Sala no disponible.
3,5/31/2021 12:30:29 p. m.,Inicia limpieza.
3,5/31/2021 12:32:17 p. m.,Sala disponible.
7,5/31/2021 12:33:07 p. m.,Sala no disponible.
7,5/31/2021 12:34:09 p. m.,Inicia limpieza.
7,5/31/2021 12:37:16 p. m.,Sala disponible.
6,5/31/2021 12:59:20 p. m.,Sala no disponible.
6,5/31/2021 12:59:57 p. m.,Inicia limpieza.
6,5/31/2021 1:01:31 p. m.,Sala disponible.
9,5/31/2021 1:03:19 p. m.,Sala no disponible.
9,5/31/2021 1:04:19 p. m.,Inicia limpieza.
9,5/31/2021 1:08:20 p. m.,Sala disponible.
13,5/31/2021 1:10:15 p. m.,Sala no disponible.
13,5/31/2021 1:10:42 p. m.,Inicia limpieza.
13,5/31/2021 1:11:37 p. m.,Sala disponible.
12,5/31/2021 1:12:48 p. m.,Sala no disponible.
12,5/31/2021 1:13:14 p. m.,Inicia limpieza.
12,5/31/2021 1:15:14 p. m.,Sala disponible.
14,5/31/2021 1:17:11 p. m.,Sala no disponible.
14,5/31/2021 1:17:26 p. m.,Inicia limpieza.
14,5/31/2021 1:18:05 p. m.,Sala disponible.
8,5/31/2021 1:20:49 p. m.,Sala no disponible.
8,5/31/2021 1:21:35 p. m.,Inicia limpieza.
8,5/31/2021 1:24:22 p. m.,Sala disponible.
1,5/31/2021 1:34:01 p. m.,Sala no disponible.
1,5/31/2021 1:34:41 p. m.,Inicia limpieza.
2,5/31/2021 1:35:23 p. m.,Sala no disponible.
2,5/31/2021 1:35:56 p. m.,Inicia limpieza.
1,5/31/2021 1:36:39 p. m.,Sala disponible.
6,5/31/2021 1:36:52 p. m.,Sala no disponible.
6,5/31/2021 1:37:28 p. m.,Inicia limpieza.
2,5/31/2021 1:38:56 p. m.,Sala disponible.
6,5/31/2021 1:43:17 p. m.,Sala disponible.
12,5/31/2021 1:49:32 p. m.,Sala no disponible.
12,5/31/2021 1:49:58 p. m.,Inicia limpieza.
12,5/31/2021 1:50:44 p. m.,Sala disponible.
13,5/31/2021 1:51:40 p. m.,Sala no disponible.
13,5/31/2021 1:52:06 p. m.,Inicia limpieza.
13,5/31/2021 1:52:55 p. m.,Sala disponible.
12,5/31/2021 2:11:31 p. m.,Sala no disponible.
1,5/31/2021 2:12:50 p. m.,Sala no disponible.
1,5/31/2021 2:13:30 p. m.,Inicia limpieza.
2,5/31/2021 2:13:34 p. m.,Sala no disponible.
2,5/31/2021 2:14:07 p. m.,Inicia limpieza.
1,5/31/2021 2:15:06 p. m.,Sala disponible.
12,5/31/2021 2:15:43 p. m.,Inicia limpieza.
12,5/31/2021 2:16:17 p. m.,Sala disponible.
2,5/31/2021 2:17:02 p. m.,Sala disponible.
3,5/31/2021 2:18:51 p. m.,Sala no disponible.
3,5/31/2021 2:19:10 p. m.,Inicia limpieza.
3,5/31/2021 2:21:36 p. m.,Sala disponible.
4,5/31/2021 2:24:01 p. m.,Sala no disponible.
4,5/31/2021 2:24:36 p. m.,Inicia limpieza.
4,5/31/2021 2:26:58 p. m.,Sala disponible.
12,5/31/2021 2:27:56 p. m.,Sala no disponible.
12,5/31/2021 2:28:22 p. m.,Inicia limpieza.
12,5/31/2021 2:29:04 p. m.,Sala disponible.
5,5/31/2021 2:32:55 p. m.,Sala no disponible.
5,5/31/2021 2:34:03 p. m.,Inicia limpieza.
5,5/31/2021 2:35:36 p. m.,Sala disponible.
3,5/31/2021 2:36:07 p. m.,Sala no disponible.
3,5/31/2021 2:36:26 p. m.,Inicia limpieza.
3,5/31/2021 2:38:08 p. m.,Sala disponible.
2,5/31/2021 2:38:50 p. m.,Sala no disponible.
2,5/31/2021 2:39:23 p. m.,Inicia limpieza.
1,5/31/2021 2:40:01 p. m.,Sala no disponible.
1,5/31/2021 2:40:41 p. m.,Inicia limpieza.
2,5/31/2021 2:42:00 p. m.,Sala disponible.
1,5/31/2021 2:42:51 p. m.,Sala disponible.
12,5/31/2021 2:45:32 p. m.,Sala no disponible.
12,5/31/2021 2:45:58 p. m.,Inicia limpieza.
12,5/31/2021 2:47:56 p. m.,Sala disponible.
4,5/31/2021 2:51:43 p. m.,Sala no disponible.
4,5/31/2021 2:52:18 p. m.,Inicia limpieza.
4,5/31/2021 2:55:17 p. m.,Sala disponible.
7,5/31/2021 2:57:10 p. m.,Sala no disponible.
7,5/31/2021 2:58:12 p. m.,Inicia limpieza.
7,5/31/2021 3:00:46 p. m.,Sala disponible.
6,5/31/2021 3:03:47 p. m.,Sala no disponible.
6,5/31/2021 3:04:24 p. m.,Inicia limpieza.
12,5/31/2021 3:07:48 p. m.,Sala no disponible.
12,5/31/2021 3:08:14 p. m.,Inicia limpieza.
12,5/31/2021 3:08:54 p. m.,Sala disponible.
8,5/31/2021 3:08:57 p. m.,Sala no disponible.
6,5/31/2021 3:09:28 p. m.,Sala disponible.
8,5/31/2021 3:09:43 p. m.,Inicia limpieza.
13,5/31/2021 3:09:53 p. m.,Sala no disponible.
13,5/31/2021 3:10:19 p. m.,Inicia limpieza.
13,5/31/2021 3:12:13 p. m.,Sala disponible.
12,5/31/2021 3:13:16 p. m.,Sala no disponible.
12,5/31/2021 3:13:43 p. m.,Inicia limpieza.
12,5/31/2021 3:14:13 p. m.,Sala disponible.
8,5/31/2021 3:15:10 p. m.,Sala disponible.
12,5/31/2021 3:24:40 p. m.,Sala no disponible.
12,5/31/2021 3:25:07 p. m.,Inicia limpieza.
13,5/31/2021 3:27:26 p. m.,Sala no disponible.
12,5/31/2021 3:27:31 p. m.,Sala disponible.
13,5/31/2021 3:27:47 p. m.,Inicia limpieza.
13,5/31/2021 3:28:17 p. m.,Sala disponible.
14,5/31/2021 3:28:55 p. m.,Sala no disponible.
14,5/31/2021 3:29:10 p. m.,Inicia limpieza.
14,5/31/2021 3:29:43 p. m.,Sala disponible.
1,5/31/2021 3:33:14 p. m.,Sala no disponible.
1,5/31/2021 3:33:54 p. m.,Inicia limpieza.
6,5/31/2021 3:34:13 p. m.,Sala no disponible.
6,5/31/2021 3:34:49 p. m.,Inicia limpieza.
1,5/31/2021 3:36:03 p. m.,Sala disponible.
6,5/31/2021 3:40:44 p. m.,Sala disponible.
12,5/31/2021 3:50:17 p. m.,Sala no disponible.
12,5/31/2021 3:50:44 p. m.,Inicia limpieza.
3,5/31/2021 3:50:56 p. m.,Sala no disponible.
3,5/31/2021 3:51:16 p. m.,Inicia limpieza.
2,5/31/2021 3:51:27 p. m.,Sala no disponible.
12,5/31/2021 3:51:37 p. m.,Sala disponible.
2,5/31/2021 3:52:00 p. m.,Inicia limpieza.
3,5/31/2021 3:53:03 p. m.,Sala disponible.
8,5/31/2021 3:54:03 p. m.,Sala no disponible.
12,5/31/2021 3:54:05 p. m.,Sala no disponible.
12,5/31/2021 3:54:31 p. m.,Inicia limpieza.
8,5/31/2021 3:54:48 p. m.,Inicia limpieza.
2,5/31/2021 3:54:48 p. m.,Sala disponible.
13,5/31/2021 3:54:52 p. m.,Sala no disponible.
12,5/31/2021 3:55:13 p. m.,Sala disponible.
13,5/31/2021 3:55:20 p. m.,Inicia limpieza.
13,5/31/2021 3:56:28 p. m.,Sala disponible.
8,5/31/2021 4:00:53 p. m.,Sala disponible.
12,5/31/2021 4:04:27 p. m.,Sala no disponible.
12,5/31/2021 4:04:53 p. m.,Inicia limpieza.
12,5/31/2021 4:05:26 p. m.,Sala disponible.
5,5/31/2021 4:07:19 p. m.,Sala no disponible.
5,5/31/2021 4:08:27 p. m.,Inicia limpieza.
13,5/31/2021 4:09:50 p. m.,Sala no disponible.
5,5/31/2021 4:10:04 p. m.,Sala disponible.
13,5/31/2021 4:10:16 p. m.,Inicia limpieza.
2,5/31/2021 4:10:22 p. m.,Sala no disponible.
1,5/31/2021 4:11:00 p. m.,Sala no disponible.
13,5/31/2021 4:12:09 p. m.,Sala disponible.
12,5/31/2021 4:12:21 p. m.,Sala no disponible.
2,5/31/2021 4:12:42 p. m.,Inicia limpieza.
3,5/31/2021 4:14:03 p. m.,Sala no disponible.
2,5/31/2021 4:16:06 p. m.,Sala disponible.
1,5/31/2021 4:16:10 p. m.,Inicia limpieza.
1,5/31/2021 4:17:45 p. m.,Sala disponible.
14,5/31/2021 4:19:22 p. m.,Sala no disponible.
3,5/31/2021 4:19:40 p. m.,Inicia limpieza.
3,5/31/2021 4:22:02 p. m.,Sala disponible.
14,5/31/2021 4:23:12 p. m.,Inicia limpieza.
14,5/31/2021 4:23:47 p. m.,Sala disponible.
5,5/31/2021 4:26:16 p. m.,Sala no disponible.
7,5/31/2021 4:26:41 p. m.,Sala no disponible.
5,5/31/2021 4:27:24 p. m.,Inicia limpieza.
4,5/31/2021 4:28:15 p. m.,Sala no disponible.
7,5/31/2021 4:28:52 p. m.,Inicia limpieza.
5,5/31/2021 4:29:04 p. m.,Sala disponible.
8,5/31/2021 4:30:06 p. m.,Sala no disponible.
7,5/31/2021 4:31:30 p. m.,Sala disponible.
4,5/31/2021 4:33:45 p. m.,Inicia limpieza.
8,5/31/2021 4:35:01 p. m.,Inicia limpieza.
4,5/31/2021 4:35:22 p. m.,Sala disponible.
12,5/31/2021 4:36:18 p. m.,Inicia limpieza.
13,5/31/2021 4:36:57 p. m.,Sala no disponible.
12,5/31/2021 4:37:03 p. m.,Sala disponible.
13,5/31/2021 4:37:36 p. m.,Inicia limpieza.
13,5/31/2021 4:38:22 p. m.,Sala disponible.
2,5/31/2021 4:38:33 p. m.,Sala no disponible.
2,5/31/2021 4:39:07 p. m.,Inicia limpieza.
8,5/31/2021 4:40:41 p. m.,Sala disponible.
1,5/31/2021 4:40:55 p. m.,Sala no disponible.
2,5/31/2021 4:41:56 p. m.,Sala disponible.
1,5/31/2021 4:43:55 p. m.,Inicia limpieza.
12,5/31/2021 4:44:10 p. m.,Sala no disponible.
3,5/31/2021 4:45:14 p. m.,Sala no disponible.
1,5/31/2021 4:45:57 p. m.,Sala disponible.
12,5/31/2021 4:46:13 p. m.,Inicia limpieza.
12,5/31/2021 4:47:01 p. m.,Sala disponible.
3,5/31/2021 4:47:30 p. m.,Inicia limpieza.
5,5/31/2021 4:49:26 p. m.,Sala no disponible.
3,5/31/2021 4:50:14 p. m.,Sala disponible.
13,5/31/2021 4:50:29 p. m.,Sala no disponible.
5,5/31/2021 4:50:34 p. m.,Inicia limpieza.
13,5/31/2021 4:50:55 p. m.,Inicia limpieza.
13,5/31/2021 4:51:46 p. m.,Sala disponible.
5,5/31/2021 4:52:04 p. m.,Sala disponible.
4,5/31/2021 4:52:34 p. m.,Sala no disponible.
9,5/31/2021 4:52:37 p. m.,Sala no disponible.
4,5/31/2021 4:53:09 p. m.,Inicia limpieza.
4,5/31/2021 4:55:15 p. m.,Sala disponible.
9,5/31/2021 4:55:39 p. m.,Inicia limpieza.
6,5/31/2021 4:58:06 p. m.,Sala no disponible.
6,5/31/2021 4:58:44 p. m.,Inicia limpieza.
9,5/31/2021 4:59:13 p. m.,Sala disponible.
6,5/31/2021 5:03:11 p. m.,Sala disponible.
2,5/31/2021 5:09:21 p. m.,Sala no disponible.
2,5/31/2021 5:09:55 p. m.,Inicia limpieza.
2,5/31/2021 5:11:22 p. m.,Sala disponible.
1,5/31/2021 5:12:55 p. m.,Sala no disponible.
1,5/31/2021 5:13:35 p. m.,Inicia limpieza.
1,5/31/2021 5:15:38 p. m.,Sala disponible.
12,5/31/2021 5:20:07 p. m.,Sala no disponible.
12,5/31/2021 5:20:34 p. m.,Inicia limpieza.
12,5/31/2021 5:21:22 p. m.,Sala disponible.
7,5/31/2021 5:34:44 p. m.,Sala no disponible.
12,5/31/2021 5:35:08 p. m.,Sala no disponible.
12,5/31/2021 5:35:34 p. m.,Inicia limpieza.
7,5/31/2021 5:35:46 p. m.,Inicia limpieza.
12,5/31/2021 5:36:18 p. m.,Sala disponible.
13,5/31/2021 5:36:21 p. m.,Sala no disponible.
5,5/31/2021 5:36:40 p. m.,Sala no disponible.
13,5/31/2021 5:36:47 p. m.,Inicia limpieza.
14,5/31/2021 5:37:22 p. m.,Sala no disponible.
14,5/31/2021 5:37:36 p. m.,Inicia limpieza.
13,5/31/2021 5:37:40 p. m.,Sala disponible.
5,5/31/2021 5:37:48 p. m.,Inicia limpieza.
14,5/31/2021 5:38:07 p. m.,Sala disponible.
5,5/31/2021 5:39:04 p. m.,Sala disponible.
7,5/31/2021 5:39:35 p. m.,Sala disponible.
12,5/31/2021 5:46:47 p. m.,Sala no disponible.
12,5/31/2021 5:47:14 p. m.,Inicia limpieza.
12,5/31/2021 5:48:02 p. m.,Sala disponible.
12,5/31/2021 5:53:35 p. m.,Sala no disponible.
12,5/31/2021 5:54:02 p. m.,Inicia limpieza.
12,5/31/2021 5:54:35 p. m.,Sala disponible.
1,5/31/2021 6:15:32 p. m.,Sala no disponible.
1,5/31/2021 6:16:11 p. m.,Inicia limpieza.
6,5/31/2021 6:17:10 p. m.,Sala no disponible.
6,5/31/2021 6:17:48 p. m.,Inicia limpieza.
1,5/31/2021 6:18:21 p. m.,Sala disponible.
6,5/31/2021 6:21:34 p. m.,Sala disponible.
12,5/31/2021 6:32:16 p. m.,Sala no disponible.
12,5/31/2021 6:32:42 p. m.,Inicia limpieza.
12,5/31/2021 6:33:25 p. m.,Sala disponible.
13,5/31/2021 6:34:14 p. m.,Sala no disponible.
13,5/31/2021 6:34:41 p. m.,Inicia limpieza.
13,5/31/2021 6:35:11 p. m.,Sala disponible.
12,5/31/2021 6:38:06 p. m.,Sala no disponible.
12,5/31/2021 6:38:33 p. m.,Inicia limpieza.
12,5/31/2021 6:39:15 p. m.,Sala disponible.
12,5/31/2021 6:46:12 p. m.,Sala no disponible.
12,5/31/2021 6:46:38 p. m.,Inicia limpieza.
12,5/31/2021 6:48:50 p. m.,Sala disponible.
1,5/31/2021 6:49:52 p. m.,Sala no disponible.
1,5/31/2021 6:50:32 p. m.,Inicia limpieza.
1,5/31/2021 6:52:17 p. m.,Sala disponible.
13,5/31/2021 6:54:25 p. m.,Sala no disponible.
5,5/31/2021 6:54:51 p. m.,Sala no disponible.
13,5/31/2021 6:54:52 p. m.,Inicia limpieza.
13,5/31/2021 6:55:27 p. m.,Sala disponible.
5,5/31/2021 6:55:59 p. m.,Inicia limpieza.
8,5/31/2021 6:57:03 p. m.,Sala no disponible.
5,5/31/2021 6:57:35 p. m.,Sala disponible.
8,5/31/2021 6:57:49 p. m.,Inicia limpieza.
12,5/31/2021 6:59:22 p. m.,Sala no disponible.
8,5/31/2021 7:00:19 p. m.,Sala disponible.
13,5/31/2021 7:00:19 p. m.,Sala no disponible.
12,5/31/2021 7:01:00 p. m.,Inicia limpieza.
12,5/31/2021 7:01:39 p. m.,Sala disponible.
13,5/31/2021 7:01:54 p. m.,Inicia limpieza.
13,5/31/2021 7:02:25 p. m.,Sala disponible.
14,5/31/2021 7:08:15 p. m.,Sala no disponible.
7,5/31/2021 7:08:55 p. m.,Sala no disponible.
7,5/31/2021 7:09:57 p. m.,Inicia limpieza.
12,5/31/2021 7:10:47 p. m.,Sala no disponible.
7,5/31/2021 7:11:45 p. m.,Sala disponible.
6,5/31/2021 7:13:49 p. m.,Sala no disponible.
14,5/31/2021 7:15:10 p. m.,Inicia limpieza.
